id;Año de puesta en operación;Código SIC;Nombre del recurso;Capacidad efectiva neta [mW];Factor de conversión;¿Es menor?;Tipo de despacho;Combustible po defecto;Fecha de operación;Agente representante;Estado del recurso;Tipo de generación;Clasificación;Fecha;Municipio;cod_mpio;Departamento;x;y
419;2021;3B4L;GRANJA SOLAR BELMONTE;4.99;0.00;SI;ND;RAD SOLAR;29/4/2021;EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;PEREIRA;66001;RISARALDA;4689984.259;2089424.468
420;2009;PPN1;PAPELES NACIONALES;0.00;0.00;NO;ND;GAS;4/2/2009;ENERCO S.A. E.S.P.;OPERACIÓN;COGENERADOR;COGENERADOR;12/2/2026;PEREIRA;66001;RISARALDA;4689984.259;2089424.468
421;1939;BLM1;BELMONTE;3.40;0.00;SI;ND;AGUA;31/12/1938;EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;PEREIRA;66001;RISARALDA;4689984.259;2089424.468
422;2025;5B15;GD MGS 0013 LA MESA;0.99;0.00;SI;ND;RAD SOLAR;30/8/2025;UNERGY ENERGY DIGITAL S.A.S E.S.P;PRUEBAS;SOLAR;GEN. DISTRIBUIDA;12/2/2026;LOS SANTOS;68418;SANTANDER;4988087.673;2310733.473
423;2025;4ULS;MINIGRANJA EL OLIMPO;0.99;0.00;SI;ND;RAD SOLAR;27/2/2025;UNERGY ENERGY DIGITAL S.A.S E.S.P;PRUEBAS;SOLAR;GEN. DISTRIBUIDA;12/2/2026;LOS SANTOS;68418;SANTANDER;4988087.673;2310733.473
424;2023;3HDE;SAN BARTOLOME;19.90;1.55;SI;ND;AGUA;13/5/2023;PCH SAN BARTOLOME S.A.S. E.S.P. ;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;GUAPOTÁ;68322;SANTANDER;4963422.626;2256773.134
425;2023;3HDG;OIBITA;19.90;1.62;SI;ND;AGUA;13/5/2023;PCH SAN BARTOLOME S.A.S. E.S.P. ;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;GUAPOTÁ;68322;SANTANDER;4963422.626;2256773.134
426;2014;SOGP;SOGAMOSO_P;546.00;1.30;NO;DC;AGUA;30/12/2014;ISAGEN S.A. E.S.P.;INACTIVO;HIDRAULICA;NORMAL;12/2/2026;GIRÓN;68307;SANTANDER;4977341.308;2328914.516
427;2014;SOG1;SOGAMOSO;819.00;1.36;NO;DC;AGUA;19/12/2014;ISAGEN S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;GIRÓN;68307;SANTANDER;4977341.308;2328914.516
428;1995;PLQ4;PALENQUE 4;14.00;0.00;NO;DC;GAS;19/7/1995;ELECTRIFICADORA DE SANTANDER S.A. E.S.P.;INACTIVO;TERMICA;NORMAL;12/2/2026;GIRÓN;68307;SANTANDER;4977341.308;2328914.516
429;1972;PLQ3;PALENQUE 3;13.00;14.32;NO;DC;GAS;31/12/1971;ELECTRIFICADORA DE SANTANDER S.A. E.S.P.;INACTIVO;TERMICA;NORMAL;12/2/2026;GIRÓN;68307;SANTANDER;4977341.308;2328914.516
430;2022;3GFQ;AGPE FERCH2;0.01;0.00;SI;ND;RAD SOLAR;16/11/2022;RUITOQUE S.A. E.S.P.;OPERACIÓN;SOLAR;AUTOG PEQ. ESCALA;12/2/2026;FLORIDABLANCA;68276;SANTANDER;4992497.162;2340303.928
431;2000;TRM1;TERMOCENTRO CC;272.00;7.37;NO;DC;GAS;29/11/2000;GENERADORA TERMOCENTRO S.A.S. E.S.P.;OPERACIÓN;TERMICA;CICLO COMBINADO;12/2/2026;CIMITARRA;68190;SANTANDER;4870622.474;2266408.447
432;2025;5AUE;GD PXV I;0.99;0.00;SI;ND;RAD SOLAR;9/10/2025;ES INVEST COLOMBIA S.A.S. ESP;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;BARRANCABERMEJA;68081;SANTANDER;4913653.331;2337534.747
433;2025;5AUG;GD PXV IV;0.99;0.00;SI;ND;RAD SOLAR;9/10/2025;ES INVEST COLOMBIA S.A.S. ESP;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;BARRANCABERMEJA;68081;SANTANDER;4913653.331;2337534.747
434;2020;2YQO;AUTOG FERTICOL;17.00;1.00;NO;ND;GAS;27/2/2020;CEMEX ENERGY S.A.S E.S.P.;INACTIVO;TERMICA;AUTOGENERADOR;12/2/2026;BARRANCABERMEJA;68081;SANTANDER;4913653.331;2337534.747
435;2016;BRN3;BARRANCA 3;24.00;0.00;NO;DC;ACPM;19/3/2016;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;INACTIVO;TERMICA;NORMAL;12/2/2026;BARRANCABERMEJA;68081;SANTANDER;4913653.331;2337534.747
436;2016;BRN2;BARRANCA 2;12.00;0.00;SI;DC;GAS;31/1/2016;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;INACTIVO;TERMICA;NORMAL;12/2/2026;BARRANCABERMEJA;68081;SANTANDER;4913653.331;2337534.747
437;1998;MRL1;MERILECTRICA 1;164.00;9.00;NO;DC;GAS;4/2/1998;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;TERMICA;NORMAL;12/2/2026;BARRANCABERMEJA;68081;SANTANDER;4913653.331;2337534.747
438;2016;BRN1;BARRANCA 1;12.00;13.26;SI;DC;ACPM;19/3/2016;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;INACTIVO;TERMICA;NORMAL;12/2/2026;BARRANCABERMEJA;68081;SANTANDER;4913653.331;2337534.747
439;1932;ZRG1;ZARAGOZA;1.30;0.00;SI;ND;AGUA;31/12/1931;ELECTRIFICADORA DE SANTANDER S.A. E.S.P.;INACTIVO;HIDRAULICA;NORMAL;12/2/2026;BUCARAMANGA;68001;SANTANDER;4987662.057;2348660.939
440;1954;CSC1;CASCADA;3.00;0.00;SI;ND;AGUA;31/12/1953;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;BUCARAMANGA;68001;SANTANDER;4987662.057;2348660.939
441;1954;PLM1;PALMAS SAN GIL;15.00;0.00;SI;ND;AGUA;31/12/1953;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;SAN GIL;68679;SANTANDER;4986862.872;2281850.541
442;2001;PTG1;PUENTE GUILLERMO;4.20;0.00;SI;ND;AGUA;31/8/2001;ENERCO S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;PUENTE NACIONAL;68572;SANTANDER;4924925.346;2202373.823
443;2025;4YLC;GD ALEJANDRIA III;0.99;0.00;SI;ND;RAD SOLAR;23/10/2025;PROELECTRICA S.A.S E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SABANA DE TORRES;68655;SANTANDER;4936951.944;2376065.399
444;2025;4YLE;GD ALEJANDRIA II;0.99;0.00;SI;ND;RAD SOLAR;23/10/2025;PROELECTRICA S.A.S E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SABANA DE TORRES;68655;SANTANDER;4936951.944;2376065.399
445;2025;4YLA;GD ALEJANDRIA I;0.99;0.00;SI;ND;RAD SOLAR;21/8/2025;PROELECTRICA S.A.S E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SABANA DE TORRES;68655;SANTANDER;4936951.944;2376065.399
446;2025;4ULO;MINIGRANJA LA RESERVA;0.99;0.00;SI;ND;RAD SOLAR;3/7/2025;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SABANA DE TORRES;68655;SANTANDER;4936951.944;2376065.399
447;2023;3HBP;LA TOLUA;19.90;0.00;SI;ND;RAD SOLAR;3/4/2023;ATLÁNTICA COLOMBIA S.A.S. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;SAMPUÉS;70670;SUCRE;4740725.718;2571609.516
448;2026;5JGE;GD ERCO LAS PIEDRAS II;0.99;0.00;SI;ND;RAD SOLAR;30/1/2026;ERCO GENERACION S.A.S. ESP;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SAMPUÉS;70670;SUCRE;4740725.718;2571609.516
449;2025;5JJC;GD ERCO LAS PIEDRAS I;0.99;0.00;SI;ND;RAD SOLAR;30/12/2025;ERCO GENERACION S.A.S. ESP;PRUEBAS;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SAMPUÉS;70670;SUCRE;4740725.718;2571609.516
450;2025;4YLO;SAN ONOFRE;0.90;0.00;SI;ND;RAD SOLAR;12/7/2025;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SAN ONOFRE;70713;SUCRE;4725310.972;2643550.844
451;2024;3JPK;MINIGRANJA SAN PEDRO;1.00;0.00;SI;ND;RAD SOLAR;26/2/2024;NITRO ENERGY COLOMBIA S.A.S. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SAN PEDRO;70717;SUCRE;4776352.949;2597008.807
452;2022;3ENE;SINCE;18.50;0.00;SI;ND;RAD SOLAR;9/9/2022;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;SINCELEJO;70001;SUCRE;4732984.094;2588422.4
453;2024;3NLZ;SOLAR OLD T;9.90;0.00;SI;ND;RAD SOLAR;15/10/2024;VATIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;SAN JOSÉ DE TOLUVIEJO;70823;SUCRE;4731715.132;2607631.347
454;2024;3R9G;GD EL ROBLE;1.00;0.00;SI;ND;RAD SOLAR;24/11/2024;PROELECTRICA S.A.S E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;EL ROBLE;70233;SUCRE;4764261.098;2557196.96
455;2026;5J8I;GD GOLONDRINA;0.99;0.00;SI;ND;RAD SOLAR;17/1/2026;SUNCOLOMBIA GENERACIÓN S.A.S E.S.P;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;COROZAL;70215;SUCRE;4754072.543;2571017.574
456;2026;5IVZ;GD CORALITO;0.99;0.00;SI;ND;RAD SOLAR;17/1/2026;SUNCOLOMBIA GENERACIÓN S.A.S E.S.P;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;COROZAL;70215;SUCRE;4754072.543;2571017.574
457;2024;3JPM;BARAYA;1.00;0.00;SI;ND;RAD SOLAR;17/2/2024;UNERGY ENERGY DIGITAL S.A.S E.S.P;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;GALERAS;70235;SUCRE;4782348.823;2568039.274
458;2021;3C3Z;LA SIERPE;19.90;0.00;SI;ND;RAD SOLAR;24/9/2021;ATLÁNTICA COLOMBIA S.A.S. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;MAJAGUAL;70429;SUCRE;4811823.408;2502760.843
459;2024;3J83;GUAMO;9.00;0.00;SI;ND;RAD SOLAR;19/9/2024;ERCO GENERACION S.A.S. ESP;PRUEBAS;SOLAR;NORMAL;12/2/2026;GUAMO;73319;TOLIMA;4780654.013;2008721.708
460;2024;3J85;NUMBANA;9.90;0.00;SI;ND;RAD SOLAR;19/9/2024;ERCO GENERACION S.A.S. ESP;PRUEBAS;SOLAR;NORMAL;12/2/2026;GUAMO;73319;TOLIMA;4780654.013;2008721.708
461;2025;4UM1;GD ERCO GUAMO IV;0.99;0.00;SI;ND;RAD SOLAR;29/3/2025;ERCO GENERACION S.A.S. ESP;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;GUAMO;73319;TOLIMA;4780654.013;2008721.708
462;2025;4ULY;GD ERCO GUAMO III;0.99;0.00;SI;ND;RAD SOLAR;29/3/2025;ERCO GENERACION S.A.S. ESP;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;GUAMO;73319;TOLIMA;4780654.013;2008721.708
463;2025;4UZU;GD ERCO GUAMO II;0.99;0.00;SI;ND;RAD SOLAR;29/3/2025;ERCO GENERACION S.A.S. ESP;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;GUAMO;73319;TOLIMA;4780654.013;2008721.708
464;2025;4VYB;GD ERCO GUAMO I;0.99;0.00;SI;ND;RAD SOLAR;25/4/2025;ERCO GENERACION S.A.S. ESP;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;GUAMO;73319;TOLIMA;4780654.013;2008721.708
465;2025;4YCF;SHANGRI LA;160.00;0.00;NO;DC;RAD SOLAR;22/10/2025;ISAGEN S.A. E.S.P.;OPERACIÓN;SOLAR;NORMAL;12/2/2026;IBAGUÉ;73001;TOLIMA;4750128.597;2050315.727
466;2004;PST1;PASTALES;0.70;0.00;SI;ND;AGUA;17/2/2004;HIDROTOLIMA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;GEN. DISTRIBUIDA;12/2/2026;IBAGUÉ;73001;TOLIMA;4750128.597;2050315.727
467;2004;MIR1;MIROLINDO;3.75;0.00;SI;ND;AGUA;2/11/2004;HIDROTOLIMA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;IBAGUÉ;73001;TOLIMA;4750128.597;2050315.727
468;2025;5E3N;CELSIA SOLAR ESCOBAL V;19.90;0.00;SI;ND;RAD SOLAR;30/3/2025;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;IBAGUÉ;73001;TOLIMA;4750128.597;2050315.727
469;2025;5DWA;CELSIA SOLAR ESCOBAL IV;19.90;0.00;SI;ND;RAD SOLAR;30/3/2025;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;IBAGUÉ;73001;TOLIMA;4750128.597;2050315.727
470;2025;5EES;CELSIA SOLAR ESCOBAL II;19.90;0.00;SI;ND;RAD SOLAR;30/3/2025;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;IBAGUÉ;73001;TOLIMA;4750128.597;2050315.727
471;2025;5G3O;CELSIA SOLAR ESCOBAL I;19.90;0.00;SI;ND;RAD SOLAR;30/3/2025;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;IBAGUÉ;73001;TOLIMA;4750128.597;2050315.727
472;1999;TPD1;TERMOPIEDRAS 1;3.75;0.00;SI;ND;GAS;29/12/1999;TERMOPIEDRAS S.A. E.S.P.;OPERACIÓN;TERMICA;NORMAL;12/2/2026;PIEDRAS;73547;TOLIMA;4778293.602;2048215.096
473;1958;RCIO;RIO RECIO;0.98;0.00;SI;ND;AGUA;31/10/1958;HIDROTOLIMA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;GEN. DISTRIBUIDA;12/2/2026;LÉRIDA;73408;TOLIMA;4786788.568;2095993.786
474;2024;3NDE;GD ERCO TOLDADO;0.99;0.00;SI;ND;RAD SOLAR;18/9/2024;ERCO GENERACION S.A.S. ESP;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;ORTEGA;73504;TOLIMA;4747116.857;1993471.842
475;2022;3EXB;CERRITOS;9.90;0.00;SI;ND;RAD SOLAR;18/9/2022;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;SAN SEBASTIÁN DE MARIQUITA;73443;TOLIMA;4788758.98;2136815.333
476;2022;3EV3;LA MEDINA;9.90;0.00;SI;ND;RAD SOLAR;14/9/2022;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;SAN SEBASTIÁN DE MARIQUITA;73443;TOLIMA;4788758.98;2136815.333
477;2020;2YWY;AUTOG TURGAS;3.50;1.00;NO;ND;GAS;7/2/2020;TERMOPIEDRAS S.A. E.S.P.;OPERACIÓN;TERMICA;AUTOGENERADOR;12/2/2026;SAN SEBASTIÁN DE MARIQUITA;73443;TOLIMA;4788758.98;2136815.333
478;2023;3FCF;GRANJA SOLAR LANCEROS;9.10;0.00;SI;ND;RAD SOLAR;29/1/2023;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;MELGAR;73449;TOLIMA;4821919.972;2021535.134
479;2013;MOY1;AMOYA LA ESPERANZA;80.00;4.85;NO;DC;AGUA;23/5/2013;ISAGEN S.A. E.S.P.;OPERACIÓN;HIDRAULICA;FILO DE AGUA;12/2/2026;CHAPARRAL;73168;TOLIMA;4712438.678;1972106.741
480;2020;2ZHY;AUTOG CELSIA SOLAR ESPINAL;9.90;0.00;NO;ND;RAD SOLAR;30/5/2020;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;ESPINAL;73268;TOLIMA;4789896.642;2018646.713
481;1957;VNTB;VENTANA B;2.50;0.00;SI;ND;AGUA;31/10/1957;HIDROTOLIMA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;ESPINAL;73268;TOLIMA;4789896.642;2018646.713
482;1957;VNTA;VENTANA A;2.50;0.00;SI;ND;AGUA;31/10/1957;HIDROTOLIMA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;ESPINAL;73268;TOLIMA;4789896.642;2018646.713
483;2024;3KOL;GD PALERMO;0.98;0.00;SI;ND;RAD SOLAR;2/12/2024;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;FLANDES;73275;TOLIMA;4796181.441;2027070.595
484;2024;3JPC;GD CHICORAL;0.98;0.00;SI;ND;RAD SOLAR;18/5/2024;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;FLANDES;73275;TOLIMA;4796181.441;2027070.595
485;2024;3JPE;GD LOS CHORROS;0.60;0.00;SI;ND;RAD SOLAR;15/2/2024;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;FLANDES;73275;TOLIMA;4796181.441;2027070.595
486;2023;3GVM;CELSIA SOLAR YUMA;9.10;0.00;SI;ND;RAD SOLAR;26/3/2023;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;FLANDES;73275;TOLIMA;4796181.441;2027070.595
487;2023;3GVK;CELSIA SOLAR DULIMA;19.90;0.00;SI;ND;RAD SOLAR;26/3/2023;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;FLANDES;73275;TOLIMA;4796181.441;2027070.595
488;2023;3GVI;GRANJA SOLAR FLANDES;19.90;0.00;SI;ND;RAD SOLAR;26/3/2023;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;FLANDES;73275;TOLIMA;4796181.441;2027070.595
489;2016;COE1;COELLO;1.20;0.00;SI;ND;AGUA;9/12/2016;ENERGETICA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;COELLO;73200;TOLIMA;4780929.154;2031017.506
490;2024;3NGJ;GD CHIMBI;0.98;0.00;SI;ND;RAD SOLAR;27/8/2024;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;CARMEN DE APICALÁ;73148;TOLIMA;4806149.735;2013848.717
491;2022;3EV1;LOS CABALLEROS;9.90;0.00;SI;ND;RAD SOLAR;14/9/2022;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;ARMERO;73055;TOLIMA;4795244.82;2111527.497
492;2024;3JQA;GD EL BANCO;0.98;0.00;SI;ND;RAD SOLAR;21/2/2024;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;ARMERO;73055;TOLIMA;4795244.82;2111527.497
493;2023;3GRD;GRANJA SOLAR SAN FELIPE;9.10;0.00;SI;ND;RAD SOLAR;29/1/2023;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;ARMERO;73055;TOLIMA;4795244.82;2111527.497
494;2024;3Q89;GD ERCO SALDANA II;0.99;0.00;SI;ND;RAD SOLAR;17/11/2024;ERCO GENERACION S.A.S. ESP;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SALDAÑA;73671;TOLIMA;4775943.735;1990605.979
495;2024;3Q87;GD ERCO SALDANA I;0.99;0.00;SI;ND;RAD SOLAR;17/11/2024;ERCO GENERACION S.A.S. ESP;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;SALDAÑA;73671;TOLIMA;4775943.735;1990605.979
496;2025;4SO4;ROKRA;9.90;0.00;SI;ND;RAD SOLAR;4/4/2025;ERCO GENERACION S.A.S. ESP;PRUEBAS;SOLAR;NORMAL;12/2/2026;SALDAÑA;73671;TOLIMA;4775943.735;1990605.979
497;2015;CUC1;CUCUANA;56.00;5.95;NO;DC;AGUA;28/7/2015;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;FILO DE AGUA;12/2/2026;RONCESVALLES;73622;TOLIMA;4712070.454;2011278.292
498;2025;3NLG;ROVIRA;3.10;0.00;SI;ND;RAD SOLAR;13/2/2025;CENTRAL TERMOCARTAGENA SAS ESP;PRUEBAS;SOLAR;NORMAL;12/2/2026;ROVIRA;73624;TOLIMA;4739505.287;2024339.249
499;2010;CUR1;CURRUCUCUES;1.25;0.52;SI;ND;AGUA;17/8/2010;ENERCO S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;ROVIRA;73624;TOLIMA;4739505.287;2024339.249
500;1973;PRDO;PRADO;51.00;0.50;NO;DC;AGUA;28/2/1973;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;PRADO;73563;TOLIMA;4792123.886;1970296.327
501;1973;PRD4;PRADO IV;6.50;0.49;SI;ND;AGUA;28/2/1973;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;PRADO;73563;TOLIMA;4792123.886;1970296.327
502;2014;PRF1;PURIFICACION;8.00;11.15;SI;ND;GAS;24/11/2014;SURENERGY S.A.S. E.S.P.;INACTIVO;TERMICA;NORMAL;12/2/2026;PURIFICACIÓN;73585;TOLIMA;4791927.823;1984128.489
503;1996;RFR2;RIO FRIO II;10.00;0.00;SI;ND;AGUA;31/12/1995;COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;RIOFRÍO;76616;VALLE DEL CAUCA;4625777.227;2012887.993
504;1954;RFR1;RIO FRIO I;1.67;0.00;SI;ND;AGUA;31/12/1953;COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;RIOFRÍO;76616;VALLE DEL CAUCA;4625777.227;2012887.993
505;2022;3GJU;AUTOG INGENIO CARMELITA;4.99;16.15;NO;ND;BAGAZO;29/12/2022;DEPI ENERGY S.A.S. E.S.P.;OPERACIÓN;TERMICA;AUTOGENERADOR;12/2/2026;RIOFRÍO;76616;VALLE DEL CAUCA;4625777.227;2012887.993
506;2021;3BZB;CELSIA SOLAR LA PAILA;9.90;0.00;SI;ND;RAD SOLAR;6/8/2021;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;ZARZAL;76895;VALLE DEL CAUCA;4661487.345;2039754.081
507;2018;RPL1;INGENIO RIOPAILA 1;16.00;0.00;NO;ND;BAGAZO;20/5/2018;RIOPAILA ENERGÍA S.A.S. E.S.P.;OPERACIÓN;COGENERADOR;COGENERADOR;12/2/2026;ZARZAL;76895;VALLE DEL CAUCA;4661487.345;2039754.081
508;2016;2S6S;AUTOG ARGOS YUMBO 1;9.90;0.00;SI;ND;CARBON;19/3/2016;DEPI ENERGY S.A.S. E.S.P.;OPERACIÓN;TERMICA;AUTOGENERADOR;12/2/2026;YUMBO;76892;VALLE DEL CAUCA;4609990.753;1956101.815
509;2017;2TYI;AUTOG CELSIA SOLAR YUMBO;9.80;0.00;NO;ND;RAD SOLAR;2/9/2017;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;YUMBO;76892;VALLE DEL CAUCA;4609990.753;1956101.815
510;2024;3K8A;CELSIA SOLAR ALUMINA;1.97;0.00;NO;ND;RAD SOLAR;23/3/2024;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;YUMBO;76892;VALLE DEL CAUCA;4609990.753;1956101.815
511;2009;ILC1;INGENIO LA CARMELITA;0.00;0.00;NO;ND;BAGAZO;10/11/2009;DEPI ENERGY S.A.S. E.S.P.;INACTIVO;COGENERADOR;COGENERADOR;12/2/2026;TULUÁ;76834;VALLE DEL CAUCA;4663361.55;2003766.485
512;2011;CIS1;INGENIO SAN CARLOS 1;2.00;29.26;NO;ND;BAGAZO;22/7/2011;ECOGENERATION S.A.S. E.S.P.;OPERACIÓN;COGENERADOR;COGENERADOR;12/2/2026;TULUÁ;76834;VALLE DEL CAUCA;4663361.55;2003766.485
513;2015;2QV2;BAJO TULUA;19.90;1.65;SI;ND;AGUA;29/1/2015;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;TULUÁ;76834;VALLE DEL CAUCA;4663361.55;2003766.485
514;2022;3EP6;AUTOG CELSIA SOLAR HARINAS;2.45;0.00;NO;ND;RAD SOLAR;20/9/2022;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;TULUÁ;76834;VALLE DEL CAUCA;4663361.55;2003766.485
515;2022;3E7C;AUTOG CELSIA SOLAR LEVAPAN;4.99;0.00;NO;ND;RAD SOLAR;10/6/2022;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;AUTOGENERADOR;12/2/2026;TULUÁ;76834;VALLE DEL CAUCA;4663361.55;2003766.485
516;2012;ALTG;ALTO TULUA;19.90;2.23;SI;ND;AGUA;27/5/2012;CELSIA COLOMBIA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;TULUÁ;76834;VALLE DEL CAUCA;4663361.55;2003766.485
517;1999;RMR1;RUMOR;2.50;0.34;SI;ND;AGUA;31/12/1998;COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.;OPERACIÓN;HIDRAULICA;NORMAL;12/2/2026;TULUÁ;76834;VALLE DEL CAUCA;4663361.55;2003766.485
518;2016;2S9L;EL COCUYO;0.70;0.10;SI;ND;AGUA;19/5/2016;P.CH EL COCUYO SAS ESP;OPERACIÓN;HIDRAULICA;GEN. DISTRIBUIDA;12/2/2026;VERSALLES;76863;VALLE DEL CAUCA;4638461.042;2072048.321
519;2024;3LMJ;CELSIA SOLAR BUGALAGRANDE;9.90;0.00;SI;ND;RAD SOLAR;20/9/2024;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;ANDALUCÍA;76036;VALLE DEL CAUCA;4649171.13;2017641.928
