id;Año de puesta en operación;Código SIC;Nombre del recurso;Capacidad efectiva neta [mW];Factor de conversión;¿Es menor?;Tipo de despacho;Combustible po defecto;Fecha de operación;Agente representante;Estado del recurso;Tipo de generación;Clasificación;Fecha;Municipio;cod_mpio;Departamento;x;y
352;2023;3HWM;PETALO DEL MAGDALENA;9.90;0.00;SI;ND;RAD SOLAR;4/8/2023;CELSIA COLOMBIA S.A. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;ZONA BANANERA;47980;MAGDALENA;4871268.231;2751279.72
353;2025;5DW8;GD SEMILLA DE GUACAMAYAL II;0.96;0.00;SI;ND;RAD SOLAR;11/10/2025;GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;ZONA BANANERA;47980;MAGDALENA;4871268.231;2751279.72
354;2024;3HF5;FUNDACION;100.00;0.00;NO;DC;RAD SOLAR;23/6/2024;ENEL COLOMBIA SA ESP;OPERACIÓN;SOLAR;NORMAL;12/2/2026;PIVIJAY;47551;MAGDALENA;4845450.336;2711222.957
355;2024;3N5E;AGPE SUB LIBERTADOR;0.02;0.00;SI;ND;RAD SOLAR;17/7/2024;AIR-E S.A.S. E.S.P.;OPERACIÓN;SOLAR;AUTOG PEQ. ESCALA;12/2/2026;SANTA MARTA;47001;MAGDALENA;4903368.673;2787159.703
356;2018;TRN1;TERMONORTE;88.00;9.11;NO;DC;GAS;30/11/2018;TERMONORTE S.A.S. E.S.P.;OPERACIÓN;TERMICA;NORMAL;12/2/2026;SANTA MARTA;47001;MAGDALENA;4903368.673;2787159.703
357;2023;3J4D;CAIMAN CIENAGUERO;9.00;0.00;SI;ND;RAD SOLAR;14/12/2023;GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.;PRUEBAS;SOLAR;NORMAL;12/2/2026;CIÉNAGA;47189;MAGDALENA;4888015.739;2757961.619
358;2026;5F6Z;GD LAS MERCEDES II;0.99;0.00;SI;ND;RAD SOLAR;1/1/2026;FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;ALGARROBO;47030;MAGDALENA;4879227.135;2691249.575
359;2026;5F42;GD LAS MERCEDES I;0.99;0.00;SI;ND;RAD SOLAR;1/1/2026;FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;ALGARROBO;47030;MAGDALENA;4879227.135;2691249.575
360;2016;2S9Q;TEQUENDAMA BIOGAS 1;2.25;0.00;SI;ND;BIOGAS;24/6/2016;VOLTAJE EMPRESARIAL S.A.S. E.S.P.;OPERACIÓN;TERMICA;NORMAL;12/2/2026;FUNDACIÓN;47288;MAGDALENA;4903276.757;2713929.239
361;2025;5AXI;GD PARQUE SOLAR GRANADA I;0.99;0.00;SI;ND;RAD SOLAR;13/9/2025;ELECTRIFICADORA DEL META S.A. E.S.P.;OPERACIÓN;SOLAR;GEN. DISTRIBUIDA;12/2/2026;GRANADA;50313;META;4915492.64;1938269.799
